name,parent,displayed,contradictions,hide,exclamation
Character,,,,T,
Sol,Character,,,,
Sylvia,Character,,,,
Nacht,Character,,,,
,,,,,
Group,,,,T,
Richorian,Group,,,,
Foreigner,Group,,,,
Musician,Group,,,,
Conductor,Group,,,,
,,,,,
Place,,,,T,
Richoria,Place,,,,
Conservatory,Richoria,,,,
,,,,,
KnowledgeGroup,,,,T,
common,KnowledgeGroup,,,T,
Richorian,KnowledgeGroup,,,T,
Musician,KnowledgeGroup,,,T,
Resident,KnowledgeGroup,,,T,
Imperial,KnowledgeGroup,,,T,
,,,,,
yes,,,,T,T
no,,,,T,T
,,,,,
Characterization,,,,T,
